agent_name,curriculum_name,evaluation,aar,ses,learning_stability,mean_reward,std_reward,total_reward,success_rate
ppo,root-p,25,-36.45251457446651,0,262.97501197122756,-1000.0,0.0,-10000.0,0.0
ppo,hard,0,-168.81659350555842,0,407.2802609356645,-1000.0,0.0,-10000.0,0.0
ppo,hard,1,-168.77717943763508,0,180.76085676516996,-1000.0,0.0,-10000.0,0.0
ppo,hard,2,-169.154689945652,0,99.13863722275676,-1000.0,0.0,-10000.0,0.0
ppo,hard,3,-171.5450823304985,0,467.82797159466816,-1000.0,0.0,-10000.0,0.0
ppo,hard,4,-160.4515474332133,0,128.2184836243886,-1000.0,0.0,-10000.0,0.0
ppo,hard,5,-175.23358566423113,0,116.10520867636093,-1000.0,0.0,-10000.0,0.0
ppo,hard,6,-165.36158689548483,0,87.31300112109618,-1000.0,0.0,-10000.0,0.0
ppo,hard,7,-49.84193883173341,0,350.4469654150004,-1000.0,0.0,-10000.0,0.0
ppo,hard,8,-45.54722762463184,0,209.7870555864789,-1000.0,0.0,-10000.0,0.0
ppo,hard,9,-46.17033523343825,0,326.48070847545097,-1000.0,0.0,-10000.0,0.0
ppo,hard,10,-51.36275186966543,0,295.5126690685704,-1000.0,0.0,-10000.0,0.0
ppo,hard,11,-45.94234241265622,0,302.4867470089806,-1000.0,0.0,-10000.0,0.0
ppo,hard,12,-46.79433342318896,0,321.03745615917865,-1000.0,0.0,-10000.0,0.0
ppo,hard,13,-29.5405890285793,0,329.37795005125594,-1000.0,0.0,-10000.0,0.0
ppo,hard,14,-28.788652803521433,0,298.98366232381136,-1000.0,0.0,-10000.0,0.0
ppo,hard,15,-29.1939069114306,0,346.55008123591267,-1000.0,0.0,-10000.0,0.0
ppo,hard,16,-28.123588742898846,0,313.9835491711926,-1000.0,0.0,-10000.0,0.0
ppo,hard,17,-29.062850036305786,0,311.04761624923657,-1000.0,0.0,-10000.0,0.0
ppo,hard,18,-28.21660564599543,0,305.34572508432143,-1000.0,0.0,-10000.0,0.0
ppo,hard,19,-18.81917964019395,0,233.7505840007616,-1000.0,0.0,-10000.0,0.0
ppo,hard,20,-20.09055506074166,0,358.2512491082251,-1000.0,0.0,-10000.0,0.0
ppo,hard,21,-18.237477882210907,0,255.8690439780423,-1000.0,0.0,-10000.0,0.0
ppo,hard,22,-21.706132809156948,0,334.9471983108531,-1000.0,0.0,-10000.0,0.0
ppo,hard,23,-20.7703288240115,0,272.30749569828004,-1000.0,0.0,-10000.0,0.0
ppo,hard,24,-19.10749068134343,0,436.4009395836622,-1000.0,0.0,-10000.0,0.0
ppo,hard,25,-19.867675038005217,0,341.6818917302571,-1000.0,0.0,-10000.0,0.0
ppo,linear,0,-167.37255728455366,0,279.44218708658013,-1000.0,0.0,-10000.0,0.0
ppo,linear,1,-131.297181084386,0,115.3430215169287,-1000.0,0.0,-10000.0,0.0
ppo,linear,2,-99.64081251601081,0,330.6662029201842,-1000.0,0.0,-10000.0,0.0
ppo,linear,3,-90.73159953552302,0,253.4277496269597,-1000.0,0.0,-10000.0,0.0
ppo,linear,4,-69.13102987007568,0,231.43588052394247,-1000.0,0.0,-10000.0,0.0
ppo,linear,5,-65.78203181023774,0,315.9260915645193,-1000.0,0.0,-10000.0,0.0
ppo,linear,6,-60.974505575070296,0,308.42963924155276,-1000.0,0.0,-10000.0,0.0
ppo,linear,7,-48.66613905835658,0,214.99579576947283,-1000.0,0.0,-10000.0,0.0
ppo,linear,8,-50.24361014691571,0,339.2336267585866,-1000.0,0.0,-10000.0,0.0
ppo,linear,9,-45.885866695951634,0,285.29556755629744,-1000.0,0.0,-10000.0,0.0
ppo,linear,10,-39.881313994612114,0,155.95580866765752,-1000.0,0.0,-10000.0,0.0
ppo,linear,11,-44.45156208582693,0,370.97139391217695,-1000.0,0.0,-10000.0,0.0
ppo,linear,12,-36.0794480847391,0,295.3353652876104,-1000.0,0.0,-10000.0,0.0
ppo,linear,13,-36.609284151500894,0,330.0457751191685,-1000.0,0.0,-10000.0,0.0
ppo,linear,14,-31.6334037099763,0,339.0041359601024,-1000.0,0.0,-10000.0,0.0
