agent_name,evaluation,curriculum_name,aar,ses,learning_stability,mean_reward,std_reward,total_reward,success_rate
dqn,baseline,54,-15.879653824836135,1.0,325.8736983076113,-1000.0,0.0,-20000.0,0.0
dqn,baseline,55,-15.594860495971426,1.0,335.7566999186587,-1000.0,0.0,-20000.0,0.0
dqn,baseline,56,-16.465290395480544,1.0,300.83453629496216,-1000.0,0.0,-20000.0,0.0
dqn,baseline,57,-16.02032568770638,1.0,360.7267545722705,-1000.0,0.0,-20000.0,0.0
dqn,baseline,58,-15.867632364260967,1.0,249.47157705175607,-1000.0,0.0,-20000.0,0.0
dqn,baseline,59,-16.276009665381636,1.0,296.4054881226179,-1000.0,0.0,-20000.0,0.0
dqn,baseline,60,-16.820287568849423,1.0,295.4383127510582,-1000.0,0.0,-20000.0,0.0
dqn,baseline,61,-16.52982702978274,1.0,304.96123738219467,-1000.0,0.0,-20000.0,0.0
dqn,baseline,62,-16.170382599277122,1.0,297.0061594436799,-1000.0,0.0,-20000.0,0.0
dqn,baseline,63,-16.933793820377854,1.0,299.9378072856874,-1000.0,0.0,-20000.0,0.0
dqn,baseline,64,-16.2484036083904,1.0,264.93123709131174,-1000.0,0.0,-20000.0,0.0
dqn,baseline,65,-15.92495508601595,1.0,319.67541513850847,-1000.0,0.0,-20000.0,0.0
dqn,baseline,66,-16.058085925645706,1.0,292.8530637024523,-1000.0,0.0,-20000.0,0.0
dqn,baseline,67,-15.395034051076783,1.0,255.62717056864506,-1000.0,0.0,-20000.0,0.0
dqn,baseline,68,-15.94781832450398,1.0,311.4400608167393,-1000.0,0.0,-20000.0,0.0
dqn,baseline,69,-16.716688279400298,1.0,299.50063034950375,-1000.0,0.0,-20000.0,0.0
dqn,baseline,70,-15.137834966970052,1.0,305.0097696844972,-1000.0,0.0,-20000.0,0.0
dqn,baseline,71,-17.271002524785203,1.0,306.80760333035346,-1000.0,0.0,-20000.0,0.0
dqn,baseline,72,-15.722807093245986,1.0,317.64846929759096,-1000.0,0.0,-20000.0,0.0
dqn,baseline,73,-16.220004672209075,1.0,306.0954929162983,-1000.0,0.0,-20000.0,0.0
dqn,baseline,74,-15.518286546320457,1.0,307.1684554488918,-1000.0,0.0,-20000.0,0.0
dqn,baseline,75,-14.715342667459975,1.0,286.7104826126755,-1000.0,0.0,-20000.0,0.0
dqn,baseline,76,-15.619436021631,1.0,272.6907293917351,-1000.0,0.0,-20000.0,0.0
dqn,baseline,77,-16.66855950083954,1.0,298.6354682418871,-1000.0,0.0,-20000.0,0.0
dqn,baseline,78,-15.444046337033376,1.0,343.38179953065725,-1000.0,0.0,-20000.0,0.0
dqn,baseline,79,-15.648086459875595,1.0,298.294716671171,-1000.0,0.0,-20000.0,0.0
dqn,baseline,80,-15.31803626550373,1.0,331.7085187518922,-1000.0,0.0,-20000.0,0.0
dqn,baseline,81,-16.144658886665376,1.0,287.49266546716535,-1000.0,0.0,-20000.0,0.0
dqn,baseline,82,-15.426453793319894,1.0,268.1545529389666,-1000.0,0.0,-20000.0,0.0
dqn,baseline,83,-17.64702626580017,1.0,315.01530706590444,-1000.0,0.0,-20000.0,0.0
dqn,baseline,84,-16.392025141256607,1.0,282.5423398131271,-1000.0,0.0,-20000.0,0.0
dqn,baseline,85,-16.43904010221997,1.0,319.4752753978149,-1000.0,0.0,-20000.0,0.0
dqn,baseline,86,-15.239367497712815,1.0,315.1938999025589,-1000.0,0.0,-20000.0,0.0
dqn,baseline,87,-16.522224983095885,1.0,302.10124497487817,-1000.0,0.0,-20000.0,0.0
dqn,baseline,88,-17.245517116715604,1.0,324.4884715221141,-1000.0,0.0,-20000.0,0.0
dqn,baseline,89,-15.874768641332096,1.0,286.6800474045375,-1000.0,0.0,-20000.0,0.0
dqn,baseline,90,-16.30725553218801,1.0,285.10435057371603,-1000.0,0.0,-20000.0,0.0
dqn,baseline,91,-17.101524315047367,1.0,299.24381900064327,-1000.0,0.0,-20000.0,0.0
dqn,baseline,92,-15.379764773367338,1.0,289.4702378345013,-1000.0,0.0,-20000.0,0.0
dqn,baseline,93,-15.453386698910823,1.0,352.31887607322284,-1000.0,0.0,-20000.0,0.0
dqn,baseline,94,-17.501590435656386,1.0,292.6477511177735,-1000.0,0.0,-20000.0,0.0
dqn,baseline,95,-17.2740350649651,1.0,345.0082964101549,-1000.0,0.0,-20000.0,0.0
dqn,baseline,96,-17.26894535119387,1.0,276.5574097762935,-1000.0,0.0,-20000.0,0.0
dqn,baseline,97,-15.270456026943936,1.0,272.86242777162295,-1000.0,0.0,-20000.0,0.0
dqn,baseline,98,-15.857954796209944,1.0,338.89061912536425,-1000.0,0.0,-20000.0,0.0
dqn,baseline,99,-16.511423119739696,1.0,298.6754993069182,-1000.0,0.0,-20000.0,0.0
dqn,baseline,100,-15.492709938763415,1.0,337.67309267972894,-1000.0,0.0,-20000.0,0.0
